akd_recno;akd_lote;akd_data;akd_valor;akd_xdoc;akd_xnumap;akd_conta_referencia;akd_historico
2413886;0000208470;20260122;4.01;SE2519073;;4141090003;22012026 -IRRF APLICACOES 13006488-2
2413701;0000208424;20260130;80.75;SE150713;;4141010008;30012026 -RENDIMENTO BB FACIL 5494-1R
2413705;0000208426;20260130;1551.48;SE150714;;4141010006;30012026 -RENDIMENTO BB FACIL 6503-XR
2413825;0000208444;20260130;143.81;SE150729;;4141030002;30012026 -RENDIMENTO BRAD INVESTE FACIL 0110125-0I
2413927;0000208489;20260130;5227515.57;SE150731;;4141010001;30012026 -RENDIMENTO 7364-4D
2413931;0000208491;20260130;120.46;SE150732;;4141010007;30012026 -RENDIMENTO BB FACIL 7364-4R
2414885;0000208699;20260130;6068.55;SE150761;;4141010003;30012026 -RENDIMENTO 431589-8P
2415003;0000208735;20260130;706.67;SE150762;;4141010008;30012026 -RENDIMENTO BB FACIL 431589-8R
2415090;0000208762;20260130;56.57;SE150765;;4141010005;30012026 -TARIFA BANCARIA 431611-8
2415130;0000208770;20260130;4208224.90;SE150766;;4141020001;30012026 -RENDIMENTO 577498223-4 FUNDO EXCLUSIVO
2415159;0000208783;20260130;319.03;SE150767;;4141020005;30012026 -RENDIMENTO CAIXA AMETISTA CORP
2415191;0000208794;20260130;0.06;SE2519723;;4141090003;30012026 -IMPOSTO NA FONTE - WITHHOLDING TAX (ON CR INTEREST)
2415204;0000208799;20260130;0.39;SE150768;;4141010011;30012026 -JUROSCREDIT INTEREST APPLICATION
2415205;0000208800;20260130;0.39;SE5243078;;4141010011;30012026 -JUROSCREDIT INTEREST APPLICATION
2415206;0000208800;20260130;0.39;SE5243078;;4141010011;30012026 -JUROSCREDIT INTEREST APPLICATION
2425915;0000212349;20260203;6.43;SE150931;;4141060001;03022026 -REND APLIC AUTOMAT ITAU
2425498;0000212215;20260223;0.03;SE2525034;;4141090003;23022026 -IRRF POUPAN€A 5494-1P
2425499;0000212215;20260223;0.03;SE2525034;;4141090003;23022026 -IRRF POUPAN€A 5494-1P
2425500;0000212215;20260223;0.03;SE2525034;;4141090003;23022026 -IRRF POUPAN€A 5494-1P
2425509;0000212219;20260227;69.71;SE150922;;4141010008;27022026 -RENDIMENTO BB FACIL 5494-1R
2425572;0000212247;20260227;1166.76;SE150924;;4141010006;27022026 -RENDIMENTO BB FACIL 6503-XR
2425580;0000212250;20260227;4415382.68;SE150925;;4141010001;27022026 -RENDIMENTO 7364-4D
2425586;0000212253;20260227;127.56;SE150926;;4141010007;27022026 -RENDIMENTO BB FACIL 7364-4R
2425602;0000212261;20260227;225.45;SE150927;;4141030002;27022026 -RENDIMENTO BRAD INVESTE FACIL 0110125-0I
2425897;0000212341;20260227;0.01;SE150928;;4141030001;12022026 -REND SANTANDER CONTAMAX
2425901;0000212343;20260227;0.01;SE150929;;4141030001;23022026 -REND SANTANDER CONTAMAX
2425905;0000212345;20260227;11.70;SE150930;;4141030001;27022026 -REND SANTANDER CONTAMAX
2433232;0000212630;20260227;6252.00;SE150935;;4141010003;27022026 -RENDIMENTO 431589-8P
2433236;0000212632;20260227;813.06;SE150936;;4141010008;27022026 -RENDIMENTO BB FACIL 431589-8R
2433244;0000212635;20260227;20.33;SE150938;;4141010005;27022026 -TARIFA BANCARIA 431611-8
2433248;0000212637;20260227;289.56;SE150939;;4141020005;27022026 -RENDIMENTO CAIXA AMETISTA CORP
2433252;0000212639;20260227;3565624.79;SE150940;;4141020001;27022026 -RENDIMENTO 577498223-4 FUNDO EXCLUSIVO
2433789;0000212767;20260227;0.36;SE150944;;4141010011;27022026 -RENDIMENTO BB TOQUIO
2433790;0000212768;20260227;0.36;SE5246109;;4141010011;27022026 -RENDIMENTO BB TOQUIO
2433791;0000212768;20260227;0.36;SE5246109;;4141010011;27022026 -RENDIMENTO BB TOQUIO
2433798;0000212770;20260227;0.06;SE2526054;;4141090003;27022026 -IMPOSTO NA FONTE
2433799;0000212770;20260227;0.06;SE2526054;;4141090003;27022026 -IMPOSTO NA FONTE
2486025;0000216060;20260303;6.84;SE151123;;4141060001;03032026 -REND APLIC AUTOMAT ITAU
2485961;0000216034;20260312;0.37;SE151118;;4141030001;12032026 -REND SANTANDER CONTAMAX
2485952;0000216032;20260313;1.76;SE2532243;;4141090003;13032026 -IRRF APLICACOES 13006488-2
2485953;0000216032;20260313;1.76;SE2532243;;4141090003;13032026 -IRRF APLICACOES 13006488-2
2485954;0000216032;20260313;1.76;SE2532243;;4141090003;13032026 -IRRF APLICACOES 13006488-2
2485937;0000216025;20260331;0.35;SE151115;;4141030001;09032026 -REND SANTANDER CONTAMAX
2485941;0000216027;20260331;9.18;SE151116;;4141030001;13032026 -REND SANTANDER CONTAMAX
2485945;0000216029;20260331;6.14;SE151117;;4141030001;31032026 -REND SANTANDER CONTAMAX
2485983;0000216043;20260331;5177432.49;SE151119;;4141010001;31032026 -RENDIMENTO 7364-4D
2485991;0000216047;20260331;195.59;SE151120;;4141010007;31032026 -RENDIMENTO BB FACIL 7364-4R
2486007;0000216053;20260331;2176.80;SE151122;;4141010006;31032026 -RENDIMENTO BB FACIL 6503-XR
2487140;0000216341;20260331;85.52;SE151161;;4141010008;31032026 -RENDIMENTO BB FACIL 5494-1R
2487408;0000216417;20260331;64.97;SE2532834;;4141090005;31032026 -IOF RENDIMENTO
2487788;0000216532;20260331;6285.18;SE151170;;4141010003;31032026 -RENDIMENTO 431589-8P
2487792;0000216534;20260331;205.05;SE151171;;4141010008;31032026 -RENDIMENTO BB FACIL 431589-8R
2487830;0000216540;20260331;30.54;SE151176;;4141010005;31032026 -TARIFA BANCARIA 431611-8
2489082;0000216679;20260331;337.27;SE151306;;4141020005;31032026 -RENDIMENTO CAIXA AMETISTA CORP
2489090;0000216682;20260331;4309913.81;SE151307;;4141020001;31032026 -RENDIMENTO 577498223-4 FUNDO EXCLUSIVO
2489158;0000216704;20260331;0.33;SE2533489;;4141090003;31032026 -IMPOSTO NA FONTE - WITHHOLDING TAX (ON CR INTEREST)
2489159;0000216704;20260331;0.33;SE2533489;;4141090003;31032026 -IMPOSTO NA FONTE - WITHHOLDING TAX (ON CR INTEREST)
2489162;0000216705;20260331;2.16;SE151311;;4141010011;31032026 -RENDIMENTO BB TOQUIO
2489163;0000216706;20260331;2.16;SE5249492;;4141010011;31032026 -RENDIMENTO BB TOQUIO
2489164;0000216706;20260331;2.16;SE5249492;;4141010011;31032026 -RENDIMENTO BB TOQUIO
2490581;0000217114;20260331;381607.49;SE2534475;;4141090002;200600003-COFINS RECEITAS FINANCEIRAS MES 032026
2505257;0000212261;20260331;216.24;;;4141030002;INCLUSAO DE CONTAS A RECEBER MANUAL
2431199;0000212442;20260101;2145.71;CT22101362;;4124030001;OFFICE STANDARD #15 - 1ST YEAR
2431200;0000212442;20260101;2145.71;CT22101362;;4124030001;OFFICE STANDARD #15 - 1ST YEAR
2431203;0000212442;20260101;1083.19;CT22101364;;4124030001;PARKING SPACE MONTHLY FEE
2431204;0000212442;20260101;1083.19;CT22101364;;4124030001;PARKING SPACE MONTHLY FEE
2431207;0000212442;20260101;275.09;CT22101366;;4124030001;OFFICE PACKAGE ADDITIONAL PERSON
2431208;0000212442;20260101;275.09;CT22101366;;4124030001;OFFICE PACKAGE ADDITIONAL PERSON
2431211;0000212442;20260101;2668.35;CT22101370;;4124030001;OFFICE STANDARD #12 - 3RD YEAR
2431212;0000212442;20260101;2668.35;CT22101370;;4124030001;OFFICE STANDARD #12 - 3RD YEAR
2431215;0000212442;20260101;703.85;CT22101372;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40493651514
2431216;0000212442;20260101;703.85;CT22101372;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40493651514
2431219;0000212442;20260101;703.85;CT22101374;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40498603790
2431220;0000212442;20260101;703.85;CT22101374;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40498603790
2431223;0000212442;20260101;660.22;CT22101376;;4124030002;PACKAGE HANDLING
2431224;0000212442;20260101;660.22;CT22101376;;4124030002;PACKAGE HANDLING
2431227;0000212442;20260101;585.01;CT22101378;;4124030003;DHL SHIPPING TRACKING NUMBER JD014600012389885905
2431228;0000212442;20260101;585.01;CT22101378;;4124030003;DHL SHIPPING TRACKING NUMBER JD014600012389885905
2431231;0000212442;20260101;579.12;CT22101380;;4124030003;DHL SHIPPING TRACKING NUMBER JD014600012338845926
2431232;0000212442;20260101;579.12;CT22101380;;4124030003;DHL SHIPPING TRACKING NUMBER JD014600012338845926
2431235;0000212442;20260101;579.12;CT22101382;;4124030003;DHL SHIPPING TRACKING NUMBER JD014600012354211279
2431236;0000212442;20260101;579.12;CT22101382;;4124030003;DHL SHIPPING TRACKING NUMBER JD014600012354211279
2431239;0000212442;20260101;447.41;CT22101386;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40495451816
2431240;0000212442;20260101;447.41;CT22101386;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40495451816
2431243;0000212442;20260101;42.58;CT22101388;;4124030003;USPS TRACKING NUMBER 9589071052703201153534
2431244;0000212442;20260101;42.58;CT22101388;;4124030003;USPS TRACKING NUMBER 9589071052703201153534
2431247;0000212442;20260101;42.58;CT22101390;;4124030003;USPS TRACKING NUMBER 9589071052703201153558
2431248;0000212442;20260101;42.58;CT22101390;;4124030003;USPS TRACKING NUMBER 9589071052703201153558
2431251;0000212442;20260101;16.51;CT22101392;;4124030001;VOICE MAIL
2431252;0000212442;20260101;16.51;CT22101392;;4124030001;VOICE MAIL
2431259;0000212442;20260101;577.69;CT22101398;;4124030003;PACKAGE HANDLING
2431260;0000212442;20260101;577.69;CT22101398;;4124030003;PACKAGE HANDLING
2431263;0000212442;20260101;5721.87;CT22101402;;4124030001;OFFICE PREMIUM I #8 - 3RD YEAR
2431264;0000212442;20260101;5721.87;CT22101402;;4124030001;OFFICE PREMIUM I #8 - 3RD YEAR
2431267;0000212442;20260101;1083.19;CT22101404;;4124030001;PARKING SPACE MONTHLY FEE
2431268;0000212442;20260101;1083.19;CT22101404;;4124030001;PARKING SPACE MONTHLY FEE
2431271;0000212442;20260101;82.53;CT22101406;;4124030003;PACKAGE HANDLING
2431272;0000212442;20260101;82.53;CT22101406;;4124030003;PACKAGE HANDLING
2431275;0000212442;20260101;38.13;CT22101408;;4124030003;USPS TRACKING NUMBER 9589071052703201153589
2431276;0000212442;20260101;38.13;CT22101408;;4124030003;USPS TRACKING NUMBER 9589071052703201153589
2431279;0000212442;20260101;82.53;CT22101418;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16553 RECEIVED ON 07
2431280;0000212442;20260101;82.53;CT22101418;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16553 RECEIVED ON 07
2431283;0000212442;20260101;4318.92;CT22101422;;4124030001;OFFICE PREMIUM I #6 - 1ST YEAR
2431284;0000212442;20260101;4318.92;CT22101422;;4124030001;OFFICE PREMIUM I #6 - 1ST YEAR
2431287;0000212442;20260101;152.12;CT22101424;;4131010009;LATE CHARGES INVOICE #17101 - PENALTY + INTEREST
2431288;0000212442;20260101;152.12;CT22101424;;4131010009;LATE CHARGES INVOICE #17101 - PENALTY + INTEREST
2431291;0000212442;20260101;151.19;CT22101426;;4131010009;LATE CHARGES INVOICE #17185 - PENALTY + INTEREST
2431292;0000212442;20260101;151.19;CT22101426;;4131010009;LATE CHARGES INVOICE #17185 - PENALTY + INTEREST
2431299;0000212442;20260101;22.17;CT22101432;;4131010009;LATE CHARGES INVOICE #17231 - PENALTY + INTEREST
2431300;0000212442;20260101;22.17;CT22101432;;4131010009;LATE CHARGES INVOICE #17231 - PENALTY + INTEREST
2431307;0000212442;20260101;22.17;CT22101438;;4131010009;LATE CHARGES INVOICE #17234 - PENALTY + INTEREST
2431308;0000212442;20260101;22.17;CT22101438;;4131010009;LATE CHARGES INVOICE #17234 - PENALTY + INTEREST
2431315;0000212442;20260101;22.17;CT22101444;;4131010009;LATE CHARGES INVOICE #17278 - PENALTY + INTEREST
2431316;0000212442;20260101;22.17;CT22101444;;4131010009;LATE CHARGES INVOICE #17278 - PENALTY + INTEREST
2431323;0000212442;20260101;22.28;CT22101450;;4131010009;LATE CHARGES INVOICE #17139 - PENALTY + INTEREST
2431324;0000212442;20260101;22.28;CT22101450;;4131010009;LATE CHARGES INVOICE #17139 - PENALTY + INTEREST
2431327;0000212442;20260101;22.17;CT22101452;;4131010009;LATE CHARGES INVOICE #17197 - PENALTY + INTEREST
2431328;0000212442;20260101;22.17;CT22101452;;4131010009;LATE CHARGES INVOICE #17197 - PENALTY + INTEREST
2431335;0000212442;20260101;22.28;CT22101458;;4131010009;LATE CHARGES INVOICE #17144 - PENALTY + INTEREST
2431336;0000212442;20260101;22.28;CT22101458;;4131010009;LATE CHARGES INVOICE #17144 - PENALTY + INTEREST
2431339;0000212442;20260101;22.17;CT22101460;;4131010009;LATE CHARGES INVOICE #17198 - PENALTY + INTEREST
2431340;0000212442;20260101;22.17;CT22101460;;4131010009;LATE CHARGES INVOICE #17198 - PENALTY + INTEREST
2431347;0000212442;20260101;22.28;CT22101466;;4131010009;LATE CHARGES INVOICE #17164 - PENALTY + INTEREST
2431348;0000212442;20260101;22.28;CT22101466;;4131010009;LATE CHARGES INVOICE #17164 - PENALTY + INTEREST
2431351;0000212442;20260101;22.17;CT22101468;;4131010009;LATE CHARGES INVOICE #17200 - PENALTY + INTEREST
2431352;0000212442;20260101;22.17;CT22101468;;4131010009;LATE CHARGES INVOICE #17200 - PENALTY + INTEREST
2431359;0000212442;20260101;25.03;CT22101474;;4131010009;LATE CHARGES INVOICE #17201 - PENALTY + INTEREST
2431360;0000212442;20260101;25.03;CT22101474;;4131010009;LATE CHARGES INVOICE #17201 - PENALTY + INTEREST
2431363;0000212442;20260101;23.27;CT22101476;;4131010009;LATE CHARGES INVOICE #17080 - PENALTY + INTEREST
2431364;0000212442;20260101;23.27;CT22101476;;4131010009;LATE CHARGES INVOICE #17080 - PENALTY + INTEREST
2431371;0000212442;20260101;22.50;CT22101482;;4131010009;LATE CHARGES INVOICES #17048 - PENALTY + INTEREST
2431372;0000212442;20260101;22.50;CT22101482;;4131010009;LATE CHARGES INVOICES #17048 - PENALTY + INTEREST
2431375;0000212442;20260101;22.17;CT22101484;;4131010009;LATE CHARGES INVOICES #17202 - PENALTY + INTEREST
2431376;0000212442;20260101;22.17;CT22101484;;4131010009;LATE CHARGES INVOICES #17202 - PENALTY + INTEREST
2431379;0000212442;20260101;21.57;CT22101486;;4131010009;LATE CHARGES INVOICES #17077 - PENALTY + INTEREST
2431380;0000212442;20260101;21.57;CT22101486;;4131010009;LATE CHARGES INVOICES #17077 - PENALTY + INTEREST
2431383;0000212442;20260101;632.70;CT22101490;;4124030002;VIRTUAL OFFICE PACKAGE
2431384;0000212442;20260101;632.70;CT22101490;;4124030002;VIRTUAL OFFICE PACKAGE
2431387;0000212442;20260101;82.53;CT22101492;;4124030003;PACKAGE HANDLING
2431388;0000212442;20260101;82.53;CT22101492;;4124030003;PACKAGE HANDLING
2431391;0000212442;20260101;632.70;CT22101496;;4124030002;VIRTUAL OFFICE PACKAGE
2431392;0000212442;20260101;632.70;CT22101496;;4124030002;VIRTUAL OFFICE PACKAGE
2431395;0000212442;20260101;169.73;CT22101498;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40396181822
2431396;0000212442;20260101;169.73;CT22101498;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40396181822
2431399;0000212442;20260101;82.53;CT22101500;;4124030003;PACKAGE HANDLING
2431400;0000212442;20260101;82.53;CT22101500;;4124030003;PACKAGE HANDLING
2431407;0000212442;20260101;497.47;CT22101506;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40395125804
2431408;0000212442;20260101;497.47;CT22101506;;4124030003;UPS SHIPPING TRACKING NUMBER 1Z2V36W40395125804
2431411;0000212442;20260101;82.53;CT22101508;;4124030003;PACKAGE HANDLING
2431412;0000212442;20260101;82.53;CT22101508;;4124030003;PACKAGE HANDLING
2431419;0000212442;20260101;275.09;CT22101514;;4124030003;CHECK DEPOSITS
2431420;0000212442;20260101;275.09;CT22101514;;4124030003;CHECK DEPOSITS
2431427;0000212442;20260101;275.09;CT22101520;;4124030003;CHECK DEPOSITS
2431428;0000212442;20260101;275.09;CT22101520;;4124030003;CHECK DEPOSITS
2431435;0000212442;20260101;275.09;CT22101526;;4124030003;CHECK DEPOSITS
2431436;0000212442;20260101;275.09;CT22101526;;4124030003;CHECK DEPOSITS
2431443;0000212442;20260101;275.09;CT22101532;;4124030002;CHECK DEPOSITS
2431444;0000212442;20260101;275.09;CT22101532;;4124030002;CHECK DEPOSITS
2431451;0000212442;20260101;275.09;CT22101538;;4124030003;CHECK DEPOSITS
2431452;0000212442;20260101;275.09;CT22101538;;4124030003;CHECK DEPOSITS
2431459;0000212442;20260101;275.09;CT22101544;;4124030003;CHECK DEPOSITS
2431460;0000212442;20260101;275.09;CT22101544;;4124030003;CHECK DEPOSITS
2431467;0000212442;20260101;275.09;CT22101550;;4124030003;CHECK DEPOSITS
2431468;0000212442;20260101;275.09;CT22101550;;4124030003;CHECK DEPOSITS
2431475;0000212442;20260101;275.09;CT22101556;;4124030002;CHECK DEPOSITS
2431476;0000212442;20260101;275.09;CT22101556;;4124030002;CHECK DEPOSITS
2431483;0000212442;20260101;82.53;CT22101566;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16905 RECEIVED ON 09
2431484;0000212442;20260101;82.53;CT22101566;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16905 RECEIVED ON 09
2431487;0000212442;20260101;82.53;CT22101572;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16917 RECEIVED ON 09
2431488;0000212442;20260101;82.53;CT22101572;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16917 RECEIVED ON 09
2431491;0000212442;20260101;82.53;CT22101578;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16559 RECEIVED ON 07
2431492;0000212442;20260101;82.53;CT22101578;;4131010009;BANK CHARGE OVER WIRE TRANSFER INVOICE #16559 RECEIVED ON 07
2431496;0000212442;20260101;5721.87;CT22101586;;4124030001;OFFICE PREMIUM I - 5TH YEAR
2431499;0000212442;20260101;1083.19;CT22101588;;4124030001;PARKING SPACE MONTHLY FEE
2431500;0000212442;20260101;1083.19;CT22101588;;4124030001;PARKING SPACE MONTHLY FEE
2431503;0000212442;20260101;110.04;CT22101590;;4124030003;SPECIAL ADMINISTRATIVE SERVICES - AUTO ATTENDANT
2431504;0000212442;20260101;110.04;CT22101590;;4124030003;SPECIAL ADMINISTRATIVE SERVICES - AUTO ATTENDANT
2431507;0000212442;20260101;16.51;CT22101592;;4124030001;VOICE MAIL
2431508;0000212442;20260101;16.51;CT22101592;;4124030001;VOICE MAIL
2431515;0000212442;20260101;5721.87;CT22101600;;4124030001;OFFICE PREMIUM I - 3RD YEAR
2431516;0000212442;20260101;5721.87;CT22101600;;4124030001;OFFICE PREMIUM I - 3RD YEAR
2431520;0000212442;20260101;5639.35;CT22101604;;4124030001;OFFICE PREMIUM II - 2ND YEAR
2431524;0000212442;20260101;6437.11;CT22101608;;4124030001;OFFICE PREMIUM II - 5TH YEAR
2431531;0000212442;20260101;2668.37;CT22101616;;4124030001;OFFICE STANDARD #14 - 3RD YEAR
2431532;0000212442;20260101;2668.37;CT22101616;;4124030001;OFFICE STANDARD #14 - 3RD YEAR
2431539;0000212442;20260101;5281.73;CT22101624;;4124030001;OFFICE EXECUTIVE II #22 - 3RD YEAR
2431540;0000212442;20260101;5281.73;CT22101624;;4124030001;OFFICE EXECUTIVE II #22 - 3RD YEAR
2431543;0000212442;20260101;1083.19;CT22101626;;4124030001;PARKING SPACE MONTHLY FEE
2431544;0000212442;20260101;1083.19;CT22101626;;4124030001;PARKING SPACE MONTHLY FEE
2431548;0000212442;20260101;2145.70;CT22101630;;4124030001;OFFICE STANDARD #18 - 1ST YEAR
2431551;0000212442;20260101;2393.28;CT22101634;;4124030001;OFFICE STANDARD #11 - 2ND. YEAR
2431552;0000212442;20260101;2393.28;CT22101634;;4124030001;OFFICE STANDARD #11 - 2ND. YEAR
2431555;0000212442;20260101;2668.37;CT22101638;;4124030001;OFFICE STANDARD #19 - 3RD YEAR
2431556;0000212442;20260101;2668.37;CT22101638;;4124030001;OFFICE STANDARD #19 - 3RD YEAR
2431587;0000212442;20260101;148.27;CT22101668;;4124030003;TELEPHONE LINE & WEBEX APP
2431588;0000212442;20260101;148.27;CT22101668;;4124030003;TELEPHONE LINE & WEBEX APP
2431591;0000212442;20260101;16.51;CT22101670;;4124030003;MONTHLY TELEPHONE USE - VOICE MAIL
2431592;0000212442;20260101;16.51;CT22101670;;4124030003;MONTHLY TELEPHONE USE - VOICE MAIL
2431599;0000212442;20260101;148.27;CT22101676;;4124030003;TELEPHONE LINE E WEBEX APP
2431600;0000212442;20260101;148.27;CT22101676;;4124030003;TELEPHONE LINE E WEBEX APP
2431635;0000212442;20260101;632.71;CT22101712;;4124030002;VIRTUAL OFFICE PACKAGE
2431636;0000212442;20260101;632.71;CT22101712;;4124030002;VIRTUAL OFFICE PACKAGE
2431639;0000212442;20260101;632.71;CT22101716;;4124030002;VIRTUAL OFFICE PACKAGE
2431640;0000212442;20260101;632.71;CT22101716;;4124030002;VIRTUAL OFFICE PACKAGE
2431643;0000212442;20260101;632.71;CT22101720;;4124030002;VIRTUAL OFFICE PACKAGE
2431644;0000212442;20260101;632.71;CT22101720;;4124030002;VIRTUAL OFFICE PACKAGE
2431647;0000212442;20260101;632.71;CT22101724;;4124030002;VIRTUAL OFFICE PACKAGE
2431648;0000212442;20260101;632.71;CT22101724;;4124030002;VIRTUAL OFFICE PACKAGE
2431651;0000212442;20260101;632.71;CT22101728;;4124030002;VIRTUAL OFFICE PACKAGE
2431652;0000212442;20260101;632.71;CT22101728;;4124030002;VIRTUAL OFFICE PACKAGE
2431655;0000212442;20260101;632.71;CT22101732;;4124030002;VIRTUAL OFFICE PACKAGE
2431656;0000212442;20260101;632.71;CT22101732;;4124030002;VIRTUAL OFFICE PACKAGE
2431659;0000212442;20260101;632.71;CT22101736;;4124030002;VIRTUAL OFFICE PACKAGE
2431660;0000212442;20260101;632.71;CT22101736;;4124030002;VIRTUAL OFFICE PACKAGE
2431663;0000212442;20260101;632.71;CT22101740;;4124030002;VIRTUAL OFFICE PACKAGE
2431664;0000212442;20260101;632.71;CT22101740;;4124030002;VIRTUAL OFFICE PACKAGE
2431667;0000212442;20260101;632.71;CT22101744;;4124030002;VIRTUAL OFFICE PACKAGE
