akd_recno;ct2_recno;confidence;score;akd_lote;ct2_lote;reasons;text_similarity;token_overlap;akd_xdoc;ct2_xdoc;akd_xnumap;ct2_xdocum;akd_data;ct2_data;ct2_hist;akd_valor;ct2_valor;akd_debito;akd_credito;ct2_debito;ct2_credito;akd_conta_referencia;ct2_centro_debito;ct2_centro_credito;akd_historico_base;ct2_historico
2432800;2112793;muito_forte;315;0000212495;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:817390101|doc_extra_2:817390101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.664;9;SE5245987;SE5245987;328802AP;328802AP;20260305;20260305;PGTO S/ TITULO 000001850-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SÃO PAULO  SEBRAE-SP-Desembolso convenio: PEIEX NÚCLEO GRANDE SÃO PAULO – LESTE E AP: 328802AP;678232.22;678232.22;;;3111020002;;3111020002;06020902;;000001850-DESEMBOLSO CONVENIO: PEIEX NÚCLEO GRANDE SÃO PAULO – LESTE E AP: 328802AP;PGTO S/ TITULO 000001850-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SÃO PAULO SEBRAE-SP-DESEMBOLSO CONVENIO: PEIEX NÚCLEO GRANDE SÃO PAULO – LESTE E AP: 328802AP
2424625;2112449;muito_forte;315;0000211902;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001747|doc_extra_2:000001747|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6638;9;SE5245485;SE5245485;328449AP;328449AP;20260302;20260302;PGTO S/ TITULO 000001747-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SANTA CATARINA-Desembolso convenio: PEIEX - FLORIANÓPOLIS/SC 2024-2027 AP: 328449AP;374986.26;374986.26;;;3111020002;;3111020002;06020902;;000001747-DESEMBOLSO CONVENIO: PEIEX - FLORIANÓPOLIS/SC 2024-2027 AP: 328449AP;PGTO S/ TITULO 000001747-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SANTA CATARINA-DESEMBOLSO CONVENIO: PEIEX - FLORIANÓPOLIS/SC 2024-2027 AP: 328449AP
2424553;2112463;muito_forte;315;0000211884;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:817070101|doc_extra_2:SE5245467|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6612;9;SE5245467;SE5245467;328560AP;328560AP;20260302;20260302;PGTO S/ TITULO 000001742-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DO AMAZONAS-Desembolso convenio: PEIEX - SEBRAE/AM - MANAUS- 2023-2025 AP: 328560AP;30598.83;30598.83;;;3111020002;;3111020002;06020903;;000001742-DESEMBOLSO CONVENIO: PEIEX - SEBRAE/AM - MANAUS- 2023-2025 AP: 328560AP;PGTO S/ TITULO 000001742-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DO AMAZONAS-DESEMBOLSO CONVENIO: PEIEX - SEBRAE/AM - MANAUS- 2023-2025 AP: 328560AP
2481717;2127888;muito_forte;315;0000215124;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:825950101|doc_extra_2:SE5248523|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6207;9;SE5248523;SE5248523;330596AP;330596AP;20260327;20260327;PGTO S/ TITULO 000001977-ASSOCIAÇÃO BRASILEIRA DE ENERGIA EÓLICA E NOVAS TECNOLOGIAS - ABEEOLICA -Desembolso convenio: CONVÊNIO ABEEOLICA 2025-2027 AP: 330596AP;112775.00;112775.00;;;3111020001;;3111020001;06020802;;000001977-DESEMBOLSO CONVENIO: CONVÊNIO ABEEOLICA 2025-2027 AP: 330596AP;PGTO S/ TITULO 000001977-ASSOCIAÇÃO BRASILEIRA DE ENERGIA EÓLICA E NOVAS TECNOLOGIAS - ABEEOLICA -DESEMBOLSO CONVENIO: CONVÊNIO ABEEOLICA 2025-2027 AP: 330596AP
2419178;2110441;muito_forte;315;0000209888;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:824860101|doc_extra_2:824860101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6198;9;SE5244057;SE5244057;328249AP;328249AP;20260210;20260210;PGTO S/ TITULO 000001653-UNIAO NACIONAL DAS COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA-Desembolso convenio: PEIEX AGRO UNICAFES - 2025-2027 AP: 328249AP;106260.60;106260.60;;;3111020002;;3111020002;06020903;;000001653-DESEMBOLSO CONVENIO: PEIEX AGRO UNICAFES - 2025-2027 AP: 328249AP;PGTO S/ TITULO 000001653-UNIAO NACIONAL DAS COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA-DESEMBOLSO CONVENIO: PEIEX AGRO UNICAFES - 2025-2027 AP: 328249AP
2425689;2112566;muito_forte;315;0000212288;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:824860101|doc_extra_2:SE5245833|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6198;9;SE5245833;SE5245833;328721AP;328721AP;20260303;20260303;PGTO S/ TITULO 000001735-UNIAO NACIONAL DAS COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA-Desembolso convenio: PEIEX AGRO UNICAFES - 2025-2027 AP: 328721AP;33153.40;33153.40;;;3111020002;;3111020002;06020903;;000001735-DESEMBOLSO CONVENIO: PEIEX AGRO UNICAFES - 2025-2027 AP: 328721AP;PGTO S/ TITULO 000001735-UNIAO NACIONAL DAS COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA-DESEMBOLSO CONVENIO: PEIEX AGRO UNICAFES - 2025-2027 AP: 328721AP
2424641;2112457;muito_forte;315;0000211906;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:822450101|doc_extra_2:SE5245489|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6067;9;SE5245489;SE5245489;328876AP;328876AP;20260302;20260302;PGTO S/ TITULO 000001752-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DE MATO GROSSO DO SUL – SEBRAE-MS-Desembolso convenio: PEIEX - CAMPO GRANDE /MS - 2022-2024* AP: 328876AP;19859.57;19859.57;;;3111020002;;3111020002;06020903;;000001752-DESEMBOLSO CONVENIO: PEIEX - CAMPO GRANDE /MS - 2022-2024* AP: 328876AP;PGTO S/ TITULO 000001752-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DE MATO GROSSO DO SUL – SEBRAE-MS-DESEMBOLSO CONVENIO: PEIEX - CAMPO GRANDE /MS - 2022-2024* AP: 328876AP
2414133;2109937;muito_forte;315;0000208580;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001572|doc_extra_2:804370101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6893;8;SE5242908;SE5242908;327757AP;327757AP;20260202;20260202;PGTO S/ TITULO 000001572-SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC-Desembolso convenio: PEIEX RECIFE/PE - 2024-2027 AP: 327757AP;18185.42;18185.42;;;3111020002;;3111020002;06020903;;000001572-DESEMBOLSO CONVENIO: PEIEX RECIFE/PE - 2024-2027 AP: 327757AP;PGTO S/ TITULO 000001572-SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC-DESEMBOLSO CONVENIO: PEIEX RECIFE/PE - 2024-2027 AP: 327757AP
2424549;2112461;muito_forte;315;0000211883;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001733|doc_extra_2:000001733|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6893;8;SE5245466;SE5245466;328462AP;328462AP;20260302;20260302;PGTO S/ TITULO 000001733-SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC-Desembolso convenio: PEIEX RECIFE/PE - 2024-2027 AP: 328462AP;83692.58;83692.58;;;3111020002;;3111020002;06020903;;000001733-DESEMBOLSO CONVENIO: PEIEX RECIFE/PE - 2024-2027 AP: 328462AP;PGTO S/ TITULO 000001733-SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC-DESEMBOLSO CONVENIO: PEIEX RECIFE/PE - 2024-2027 AP: 328462AP
2435964;2127077;muito_forte;315;0000213516;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:821830101|doc_extra_2:000001877|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6816;8;SE5247376;SE5247376;329671AP;329671AP;20260313;20260313;PGTO S/ TITULO 000001877-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO PARANÁ-Desembolso convenio: PEIEX - CURITIBA /PR - 2024-2027 AP: 329671AP;539814.08;539814.08;;;3111020002;;3111020002;06020902;;000001877-DESEMBOLSO CONVENIO: PEIEX - CURITIBA /PR - 2024-2027 AP: 329671AP;PGTO S/ TITULO 000001877-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO PARANÁ-DESEMBOLSO CONVENIO: PEIEX - CURITIBA /PR - 2024-2027 AP: 329671AP
2424569;2112421;muito_forte;315;0000211888;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:802370101|doc_extra_2:802370101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6298;8;SE5245471;SE5245471;328392AP;328392AP;20260302;20260302;PGTO S/ TITULO 000001729-SERVIÇO BRASILEIRO DE APOIO A MICRO E PEQUENAS DO TOCANTINS - SEBRAE-TO-Desembolso convenio: PEIEX -  PALMAS /TO - 2024-2027 AP: 328392AP;4033.73;4033.73;;;3111020002;;3111020002;06020903;;000001729-DESEMBOLSO CONVENIO: PEIEX - PALMAS /TO - 2024-2027 AP: 328392AP;PGTO S/ TITULO 000001729-SERVIÇO BRASILEIRO DE APOIO A MICRO E PEQUENAS DO TOCANTINS - SEBRAE-TO-DESEMBOLSO CONVENIO: PEIEX - PALMAS /TO - 2024-2027 AP: 328392AP
2442999;2127470;muito_forte;315;0000214620;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001885|doc_extra_2:821950101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6262;8;SE5248061;SE5248061;329924AP;329924AP;20260319;20260319;PGTO S/ TITULO 000001885-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DA BAHIA-Desembolso convenio: PEIEX BAHIA - 2024-2027 AP: 329924AP;413145.71;413145.71;;;3111020002;;3111020002;06020903;;000001885-DESEMBOLSO CONVENIO: PEIEX BAHIA - 2024-2027 AP: 329924AP;PGTO S/ TITULO 000001885-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DA BAHIA-DESEMBOLSO CONVENIO: PEIEX BAHIA - 2024-2027 AP: 329924AP
2396372;2096203;muito_forte;315;0000204897;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:276608963|doc_extra_2:SE5239632|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6216;8;SE5239632;SE5239632;325229AP;325229AP;20260106;20260106;PGTO S/ TITULO 276608963-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE ALAGOAS - SEBRAE/AL-Desembolso convenio: PEIEX ALAGOAS - 2024-2027 AP: 325229AP;55298.56;55298.56;;;3111020002;;3111020002;06020903;;276608963-DESEMBOLSO CONVENIO: PEIEX ALAGOAS - 2024-2027 AP: 325229AP;PGTO S/ TITULO 276608963-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE ALAGOAS - SEBRAE/AL-DESEMBOLSO CONVENIO: PEIEX ALAGOAS - 2024-2027 AP: 325229AP
2441644;2126525;muito_forte;315;0000214048;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001873|doc_extra_2:SE5247845|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6216;8;SE5247845;SE5247845;328708AP;328708AP;20260313;20260313;PGTO S/ TITULO 000001873-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE ALAGOAS - SEBRAE/AL-Desembolso convenio: PEIEX ALAGOAS - 2024-2027 AP: 328708AP;29158.86;29158.86;;;3111020002;;3111020002;06020903;;000001873-DESEMBOLSO CONVENIO: PEIEX ALAGOAS - 2024-2027 AP: 328708AP;PGTO S/ TITULO 000001873-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE ALAGOAS - SEBRAE/AL-DESEMBOLSO CONVENIO: PEIEX ALAGOAS - 2024-2027 AP: 328708AP
2432808;2112797;muito_forte;315;0000212497;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001852|doc_extra_2:823670101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.621;8;SE5245989;SE5245989;329341AP;329341AP;20260305;20260305;PGTO S/ TITULO 000001852-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DA PARAÍBA – SEBRAE-PB-Desembolso convenio: PEIEX JOÃO PESSOA /PB - 2024-2027 AP: 329341AP;26707.30;26707.30;;;3111020002;;3111020002;06020903;;000001852-DESEMBOLSO CONVENIO: PEIEX JOÃO PESSOA /PB - 2024-2027 AP: 329341AP;PGTO S/ TITULO 000001852-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DA PARAÍBA – SEBRAE-PB-DESEMBOLSO CONVENIO: PEIEX JOÃO PESSOA /PB - 2024-2027 AP: 329341AP
2443003;2127472;muito_forte;315;0000214621;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001886|doc_extra_2:823300101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6204;8;SE5248062;SE5248062;330028AP;330028AP;20260319;20260319;PGTO S/ TITULO 000001886-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO AMAPÁ – SEBRAE/AP-Desembolso convenio: PEIEX MACAPÁ -2024-2027 AP: 330028AP;9415.39;9415.39;;;3111020002;;3111020002;06020903;;000001886-DESEMBOLSO CONVENIO: PEIEX MACAPÁ -2024-2027 AP: 330028AP;PGTO S/ TITULO 000001886-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO AMAPÁ – SEBRAE/AP-DESEMBOLSO CONVENIO: PEIEX MACAPÁ -2024-2027 AP: 330028AP
2414213;2109933;muito_forte;315;0000208600;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:822400101|doc_extra_2:822400101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.5812;8;SE5242928;SE5242928;327571AP;327571AP;20260202;20260202;PGTO S/ TITULO 000001585-SERVIÇO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DE MATO GROSSO – SEBRAE/MT-Desembolso convenio: PEIEX CUIABÁ - 2024-2027 AP: 327571AP;13752.95;13752.95;;;3111020002;;3111020002;06020903;;000001585-DESEMBOLSO CONVENIO: PEIEX CUIABÁ - 2024-2027 AP: 327571AP;PGTO S/ TITULO 000001585-SERVIÇO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DE MATO GROSSO – SEBRAE/MT-DESEMBOLSO CONVENIO: PEIEX CUIABÁ - 2024-2027 AP: 327571AP
2404730;2096737;muito_forte;311;0000206011;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:276608966|doc_extra_2:276608966|competencia|ent05_conta|cc|classe_valor|tokens_4+|texto_070;0.8442;7;SE5241077;SE5241077;326548AP;326548AP;20260113;20260113;PGTO S/ TITULO 276608966-ABIARROZ-Desembolso convenio: PS ABIARROZ 2024-2026 AP: 326548AP;7768.21;7768.21;;;3111020001;;3111020001;06020402;;276608966-DESEMBOLSO CONVENIO: PS ABIARROZ 2024-2026 AP: 326548AP;PGTO S/ TITULO 276608966-ABIARROZ-DESEMBOLSO CONVENIO: PS ABIARROZ 2024-2026 AP: 326548AP
2419442;2110374;muito_forte;311;0000209977;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:104300101|doc_extra_2:SE5244107|competencia|ent05_conta|cc|classe_valor|tokens_4+|texto_070;0.8442;7;SE5244107;SE5244107;328227AP;328227AP;20260210;20260210;PGTO S/ TITULO 000001658-ABIARROZ-Desembolso convenio: PS ABIARROZ 2024-2026 AP: 328227AP;186414.98;186414.98;;;3111020001;;3111020001;06020402;;000001658-DESEMBOLSO CONVENIO: PS ABIARROZ 2024-2026 AP: 328227AP;PGTO S/ TITULO 000001658-ABIARROZ-DESEMBOLSO CONVENIO: PS ABIARROZ 2024-2026 AP: 328227AP
2424613;2112443;muito_forte;311;0000211899;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:104300101|doc_extra_2:SE5245482|competencia|ent05_conta|cc|classe_valor|tokens_4+|texto_070;0.8442;7;SE5245482;SE5245482;328749AP;328749AP;20260302;20260302;PGTO S/ TITULO 000001744-ABIARROZ-Desembolso convenio: PS ABIARROZ 2024-2026 AP: 328749AP;51395.42;51395.42;;;3111020001;;3111020001;06020402;;000001744-DESEMBOLSO CONVENIO: PS ABIARROZ 2024-2026 AP: 328749AP;PGTO S/ TITULO 000001744-ABIARROZ-DESEMBOLSO CONVENIO: PS ABIARROZ 2024-2026 AP: 328749AP
2396364;2096199;muito_forte;311;0000204895;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:276608961|doc_extra_2:817620101|competencia|ent05_conta|cc|classe_valor|tokens_4+|texto_070;0.8144;7;SE5239630;SE5239630;325707AP;325707AP;20260106;20260106;PGTO S/ TITULO 276608961-CROPLIFE BRASIL-Desembolso convenio: PS BIOINSUMOS -2025-2027 AP: 325707AP;154379.71;154379.71;;;3111020001;;3111020001;06020403;;276608961-DESEMBOLSO CONVENIO: PS BIOINSUMOS -2025-2027 AP: 325707AP;PGTO S/ TITULO 276608961-CROPLIFE BRASIL-DESEMBOLSO CONVENIO: PS BIOINSUMOS -2025-2027 AP: 325707AP
2397327;2096282;muito_forte;311;0000205183;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:133000101|doc_extra_2:ABRAFRUTAS20252027|competencia|ent05_conta|cc|classe_valor|tokens_4+|texto_070;0.7053;7;SE5239741;SE5239741;326114AP;326114AP;20260108;20260108;PGTO S/ TITULO 276608965-ASSOCIACAO BRASILEIRA DOS PRODUTORES EXP-Desembolso convenio: PS ABRAFRUTAS-2025-2027 AP: 326114AP;903861.92;903861.92;;;3111020001;;3111020001;06020402;;276608965-DESEMBOLSO CONVENIO: PS ABRAFRUTAS-2025-2027 AP: 326114AP;PGTO S/ TITULO 276608965-ASSOCIACAO BRASILEIRA DOS PRODUTORES EXP-DESEMBOLSO CONVENIO: PS ABRAFRUTAS-2025-2027 AP: 326114AP
